code,occupation_primary,industry,state,state_name,rate,rate_type,effective_date,rating_authority,is_top_50_code,state_is_indep_bureau,state_is_monopolistic
1430,Underground Salt Mining,mining,AK,Alaska,2.18,loss_cost,2024-01-01,National Council on Compensation,False,False,False
1438,Stone Crushing,mining,AK,Alaska,2.17,loss_cost,2024-01-01,National Council on Compensation,False,False,False
1452,Peat Harvesting,agriculture,AK,Alaska,0.9,loss_cost,2024-01-01,National Council on Compensation,False,False,False
1463,Clay or Shale Digging,mining,AK,Alaska,4.9,loss_cost,2024-01-01,National Council on Compensation,False,False,False
1472,Coal Mining - Surface,mining,AK,Alaska,1.83,loss_cost,2024-01-01,National Council on Compensation,False,False,False
1624,Oil/Gas Wells - Drilling/Operation,mining,AK,Alaska,0.9,pure_premium,2024-01-01,National Council on Compensation,False,False,False
1624 D,Oil/Gas Wells - Drilling/Operation,mining,AK,Alaska,1.49,loss_cost,2024-01-01,National Council on Compensation,False,False,False
1642,Gypsum Mining,mining,AK,Alaska,1.5,loss_cost,2024-01-01,National Council on Compensation,False,False,False
1654,Phosphate Mining,mining,AK,Alaska,2.33,loss_cost,2024-01-01,National Council on Compensation,False,False,False
1699,Mining N.O.C.,mining,AK,Alaska,1.6,loss_cost,2024-01-01,National Council on Compensation,False,False,False
1701,Cement Manufacturing,manufacturing,AK,Alaska,1.54,loss_cost,2024-01-01,National Council on Compensation,False,False,False
1710,Stone Cutting or Polishing,manufacturing,AK,Alaska,1.14,pure_premium,2024-01-01,National Council on Compensation,False,False,False
1710 D,Stone Cutting or Polishing,manufacturing,AK,Alaska,1.69,loss_cost,2024-01-01,National Council on Compensation,False,False,False
1747,Glass Manufacturing - Flat,manufacturing,AK,Alaska,1.52,loss_cost,2024-01-01,National Council on Compensation,False,False,False
1748,Glass Manufacturing - Other,manufacturing,AK,Alaska,3.03,loss_cost,2024-01-01,National Council on Compensation,False,False,False
1803,Plaster/Plaster Board Mfg.,manufacturing,AK,Alaska,2.24,pure_premium,2024-01-01,National Council on Compensation,False,False,False
1803 D,Plaster/Plaster Board Mfg.,manufacturing,AK,Alaska,3.33,loss_cost,2024-01-01,National Council on Compensation,False,False,False
1924,Baking & Delivery,manufacturing,AK,Alaska,1.31,loss_cost,2024-01-01,National Council on Compensation,False,False,False
1925,Retail Bakery,retail,AK,Alaska,1.57,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2002,Retail Meat/Fish Dealer,retail,AK,Alaska,1.87,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2003,Meat/Fish/Poultry Packing,manufacturing,AK,Alaska,1.68,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2014,Ice Cream Manufacturing,manufacturing,AK,Alaska,2.37,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2016,Milk Processing & Delivery,manufacturing,AK,Alaska,1.33,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2021,Fruit/Vegetable Canning,manufacturing,AK,Alaska,1.8,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2039,Grain Elevator Operation,agriculture,AK,Alaska,1.47,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2041,Flour Milling,manufacturing,AK,Alaska,1.42,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2065,Tea Blending/Packing,manufacturing,AK,Alaska,1.07,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2070,Brewery & Delivery,manufacturing,AK,Alaska,4.53,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2081,Distillery Operation,manufacturing,AK,Alaska,2.06,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2089,Winery Operation,manufacturing,AK,Alaska,2.33,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2095,Creamery & Dairy Products Manufacturing,manufacturing,AK,Alaska,2.29,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2101,Fruit or Vegetable Canning,manufacturing,AK,Alaska,1.22,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2104,Ice Cream Manufacturing,manufacturing,AK,Alaska,3.23,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2105,Butter or Cheese Manufacturing,manufacturing,AK,Alaska,2.13,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2110,Grain Elevator Operation,manufacturing,AK,Alaska,1.51,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2111,Malt House Operation,manufacturing,AK,Alaska,1.4,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2112,Sugar Refining,manufacturing,AK,Alaska,2.12,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2114,Starch Manufacturing,manufacturing,AK,Alaska,1.51,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2121,Chocolate or Cocoa Manufacturing,manufacturing,AK,Alaska,0.71,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2122,Confectionery Manufacturing,manufacturing,AK,Alaska,3.08,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2130,Bakeries,manufacturing,AK,Alaska,1.06,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2131,Biscuit Manufacturing,manufacturing,AK,Alaska,0.95,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2143,Butter or Cheese Manufacturing,manufacturing,AK,Alaska,1.17,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2157,"Wholesale Meat, Fish, Poultry",services,AK,Alaska,2.09,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2172,Fish Curing or Packing,manufacturing,AK,Alaska,0.84,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2174,Seafood Processing - N.O.C.,manufacturing,AK,Alaska,1.79,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2211,Bakeries,manufacturing,AK,Alaska,4.04,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2220,Sugar Refining,manufacturing,AK,Alaska,1.62,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2286,Feed Manufacturing,manufacturing,AK,Alaska,1.21,pure_premium,2024-01-01,National Council on Compensation,False,False,False
2288,"Textile Bleaching, Dyeing, Finishing",manufacturing,AK,Alaska,2.24,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2302,Wool Spinning & Weaving,manufacturing,AK,Alaska,1.01,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2305,Jute & Hemp Spinning & Weaving,manufacturing,AK,Alaska,1.18,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2361,Hosiery Mfg.,manufacturing,AK,Alaska,1.06,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2362,Knit Goods Mfg. (N.O.C.),manufacturing,AK,Alaska,1.39,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2380,Mattress & Box Spring Mfg.,manufacturing,AK,Alaska,1.29,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2388,Upholstering,manufacturing,AK,Alaska,0.71,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2402,Clothing Mfg. (N.O.C.),manufacturing,AK,Alaska,1.32,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2413,"Overall, Work Clothing Mfg.",manufacturing,AK,Alaska,1.19,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2416,Raincoat & Waterproof Clothing Mfg.,manufacturing,AK,Alaska,1.48,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2417,Millinery Mfg.,manufacturing,AK,Alaska,0.87,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2501,Clothing Manufacturing,manufacturing,AK,Alaska,1.14,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2503,"Clothing Manufacturing, Hand",manufacturing,AK,Alaska,0.75,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2570,Retail Laundry or Dry Cleaning,services,AK,Alaska,1.8,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2587,Apparel Manufacturing - Sportswear/Casual,manufacturing,AK,Alaska,1.43,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2592,Leather Goods Manufacturing,manufacturing,AK,Alaska,2.55,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2600,Yarn/Thread Manufacturing,manufacturing,AK,Alaska,2.78,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2623,Textile Rental Service,services,AK,Alaska,7.19,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2651,Awning/Tent Manufacturing,manufacturing,AK,Alaska,0.93,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2660,"Chemical Mfg. - Soap, Detergent",manufacturing,AK,Alaska,1.26,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2670,Carbon Black Mfg.,manufacturing,AK,Alaska,0.88,pure_premium,2024-01-01,National Council on Compensation,False,False,False
2683,Oil or Gas Lease Operations - Well Cementing,mining,AK,Alaska,0.89,pure_premium,2024-01-01,National Council on Compensation,False,False,False
2688,Oil or Gas Lease Operations - Well Perforating,mining,AK,Alaska,1.13,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2702,Saw Mill Operations,manufacturing,AK,Alaska,12.3,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2703,Veneer Manufacturing,manufacturing,AK,Alaska,2.29,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2710,Planing Mill,manufacturing,AK,Alaska,5.02,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2714,Wood Turning,manufacturing,AK,Alaska,2.67,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2725,Last Manufacturing,manufacturing,AK,Alaska,4.16,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2731,Wood Musical Instrument Mfg.,manufacturing,AK,Alaska,2.06,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2735,Broom or Brush Manufacturing,manufacturing,AK,Alaska,2.58,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2759,Set-Up Paper Box Mfg.,manufacturing,AK,Alaska,3.27,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2790,Paper Goods Manufacturing,manufacturing,AK,Alaska,1.04,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2797,Felt or Paper Roofing Mfg.,manufacturing,AK,Alaska,1.62,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2802,Clay Tile Manufacturing,manufacturing,AK,Alaska,2.46,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2835,Wood Furniture Manufacturing,manufacturing,AK,Alaska,1.52,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2836,Upholstered Wood Furniture Mfg.,manufacturing,AK,Alaska,1.66,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2841,Last Manufacturing,manufacturing,AK,Alaska,2.67,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2881,"Last Block Mfg., N.O.C.",manufacturing,AK,Alaska,1.42,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2883,"Shoe Last Mfg., N.O.C.",manufacturing,AK,Alaska,1.52,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2915,Die Casting Foundry,manufacturing,AK,Alaska,1.46,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2916,Other Metal Foundries,manufacturing,AK,Alaska,1.76,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2923,Condensed Milk Manufacturing,manufacturing,AK,Alaska,1.09,loss_cost,2024-01-01,National Council on Compensation,False,False,False
2960,Cheese Manufacturing,manufacturing,AK,Alaska,2.42,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3004,Forging - Drop or Machine,manufacturing,AK,Alaska,0.68,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3018,Metal Stamping,manufacturing,AK,Alaska,1.36,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3022,Metal Goods Mfg. - N.O.C.,manufacturing,AK,Alaska,1.73,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3027,Die Casting Mfg.,manufacturing,AK,Alaska,1.15,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3028,Metal Heat Treating,manufacturing,AK,Alaska,1.83,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3030,Metal Plating or Polishing,manufacturing,AK,Alaska,2.75,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3040,Metal Drum or Barrel Mfg.,manufacturing,AK,Alaska,2.69,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3041,Metal Pipe or Tube Mfg.,manufacturing,AK,Alaska,1.91,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3042,Metal Wire Drawing,manufacturing,AK,Alaska,2.05,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3064,Machine Parts Mfg. - N.O.C.,manufacturing,AK,Alaska,1.73,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3076,Pump Mfg.,manufacturing,AK,Alaska,1.43,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3081,Automobile Mfg.,manufacturing,AK,Alaska,2.2,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3081 D,Automobile Mfg.,manufacturing,AK,Alaska,2.2,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3082,"Truck, Trailer or Bus Mfg.",manufacturing,AK,Alaska,2.06,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3082 D,"Truck, Trailer or Bus Mfg.",manufacturing,AK,Alaska,2.06,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3085,Aircraft Mfg.,manufacturing,AK,Alaska,2.26,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3085 D,Aircraft Mfg.,manufacturing,AK,Alaska,2.26,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3110,Iron or Steel Rolling Mill,manufacturing,AK,Alaska,2.04,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3111,Rolling Mill NOC,manufacturing,AK,Alaska,1.03,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3113,Iron Foundry,manufacturing,AK,Alaska,0.93,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3114,Steel Foundry,manufacturing,AK,Alaska,1.46,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3118,Aluminum Foundry,manufacturing,AK,Alaska,0.99,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3119,"Brass, Bronze, Copper Foundry",manufacturing,AK,Alaska,0.64,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3122,Drop or Machine Forging,manufacturing,AK,Alaska,1.43,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3126,Forging NOC,manufacturing,AK,Alaska,1.02,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3131,Aluminum Die Casting,manufacturing,AK,Alaska,0.9,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3132,Zinc Die Casting,manufacturing,AK,Alaska,1.48,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3145,Metal Stamping NOC,manufacturing,AK,Alaska,1.02,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3146,Automobile Parts Stamping,manufacturing,AK,Alaska,1.09,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3169,Metal Goods Manufacturing NOC,manufacturing,AK,Alaska,1.21,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3179,Wire Goods Manufacturing NOC,manufacturing,AK,Alaska,0.94,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3180,Wire Rope or Cable Manufacturing,manufacturing,AK,Alaska,1.35,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3188,Sheet Metal Products Manufacturing,manufacturing,AK,Alaska,0.95,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3220,Aluminum Foundry,manufacturing,AK,Alaska,0.9,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3224,Die Casting Foundry,manufacturing,AK,Alaska,2.08,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3227,Other Metal Foundry,manufacturing,AK,Alaska,1.69,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3240,Lead Smelting & Refining,manufacturing,AK,Alaska,1.05,pure_premium,2024-01-01,National Council on Compensation,False,False,False
3241,Other Metal Smelting & Refining,manufacturing,AK,Alaska,1.5,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3255,Iron or Steel Rolling Mill,manufacturing,AK,Alaska,1.52,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3257,Other Metal Rolling Mill,manufacturing,AK,Alaska,1.33,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3270,Drop or Machine Forging,manufacturing,AK,Alaska,1.31,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3300,Metal Stamping,manufacturing,AK,Alaska,2.45,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3303,Metal Goods Manufacturing,manufacturing,AK,Alaska,1.37,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3307,Hand Tool Manufacturing,manufacturing,AK,Alaska,1.45,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3315,Wire Drawing,manufacturing,AK,Alaska,1.73,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3334,Spring Manufacturing,manufacturing,AK,Alaska,1.31,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3336,Fastener Manufacturing,manufacturing,AK,Alaska,1.33,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3365,Metal Plating & Finishing,manufacturing,AK,Alaska,2.13,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3372,Metal Heat Treating,manufacturing,AK,Alaska,1.44,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3373,Metal Polishing & Buffing,manufacturing,AK,Alaska,2.31,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3383,Wood Pattern Manufacturing,manufacturing,AK,Alaska,0.8,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3385,Die Casting Manufacturing,manufacturing,AK,Alaska,0.71,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3400,Jewelry Manufacturing,manufacturing,AK,Alaska,1.6,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3507,Pharmaceutical Manufacturing,manufacturing,AK,Alaska,1.16,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3515,Ink Manufacturing,manufacturing,AK,Alaska,1.29,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3548,Paint Manufacturing,manufacturing,AK,Alaska,0.81,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3559,Soap or Detergent Manufacturing,manufacturing,AK,Alaska,1.36,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3574,Gas Manufacturing,manufacturing,AK,Alaska,0.6,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3581,Rubber Goods Manufacturing,manufacturing,AK,Alaska,0.53,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3612,Machinery Manufacturing,manufacturing,AK,Alaska,0.92,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3620,Machine Shop,manufacturing,AK,Alaska,1.29,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3629,Die Casting Manufacturing,manufacturing,AK,Alaska,0.8,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3632,Foundry,manufacturing,AK,Alaska,1.47,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3634,Forging,manufacturing,AK,Alaska,1.04,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3635,Heat Treating,manufacturing,AK,Alaska,0.87,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3638,Metal Stamping,manufacturing,AK,Alaska,0.9,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3642,Sheet Metal Products Manufacturing,manufacturing,AK,Alaska,0.87,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3643,Wire Goods Manufacturing,manufacturing,AK,Alaska,1.1,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3647,Iron or Steel Works,manufacturing,AK,Alaska,1.32,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3648,Electrical Apparatus Manufacturing,manufacturing,AK,Alaska,0.67,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3681,Electrical Wiring Devices Manufacturing,manufacturing,AK,Alaska,0.41,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3685,Electrical Instrument Manufacturing,manufacturing,AK,Alaska,0.53,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3719,Oil refinery,manufacturing,AK,Alaska,0.45,loss_cost,2024-01-01,National Council on Compensation,True,False,False
3724,Millwright — installation/erection of machinery,manufacturing,AK,Alaska,2.11,loss_cost,2024-01-01,National Council on Compensation,True,False,False
3726,Boilermaking,manufacturing,AK,Alaska,1.71,loss_cost,2024-01-01,National Council on Compensation,True,False,False
3803,Automobile Manufacturing,manufacturing,AK,Alaska,1.32,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3807,Aircraft Manufacturing,manufacturing,AK,Alaska,1.06,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3808,Aircraft Parts Manufacturing,manufacturing,AK,Alaska,1.74,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3821,Engine or Turbine Manufacturing,manufacturing,AK,Alaska,3.02,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3822,Agricultural Machinery Manufacturing,manufacturing,AK,Alaska,2.08,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3824,Industrial Machinery Manufacturing - NOC,manufacturing,AK,Alaska,1.95,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3826,Office Machinery Manufacturing,manufacturing,AK,Alaska,0.41,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3827,Special Machinery Manufacturing - NOC,manufacturing,AK,Alaska,0.97,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3830,Tool Manufacturing - NOC,manufacturing,AK,Alaska,0.66,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3851,Forging - NOC,manufacturing,AK,Alaska,1.15,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3865,Electroplating - NOC,manufacturing,AK,Alaska,1.59,loss_cost,2024-01-01,National Council on Compensation,False,False,False
3881,Metal Stamping - NOC,manufacturing,AK,Alaska,1.81,loss_cost,2024-01-01,National Council on Compensation,False,False,False
4000,Stone Crushing,mining,AK,Alaska,2.35,loss_cost,2024-01-01,National Council on Compensation,False,False,False
4021,Concrete Products Manufacturing,manufacturing,AK,Alaska,2.13,loss_cost,2024-01-01,National Council on Compensation,False,False,False
4024,Concrete Construction,construction,AK,Alaska,2.06,loss_cost,2024-01-01,National Council on Compensation,False,False,False
4024 D,Concrete Construction,construction,AK,Alaska,2.06,loss_cost,2024-01-01,National Council on Compensation,False,False,False
4034,Asphalt Paving,construction,AK,Alaska,2.63,loss_cost,2024-01-01,National Council on Compensation,False,False,False
4036,Asphalt Manufacturing,manufacturing,AK,Alaska,1.24,loss_cost,2024-01-01,National Council on Compensation,False,False,False
4038,Sand or Gravel Digging,mining,AK,Alaska,1.68,loss_cost,2024-01-01,National Council on Compensation,False,False,False
4062,Clay or Shale Digging,mining,AK,Alaska,1.39,loss_cost,2024-01-01,National Council on Compensation,False,False,False
4101,Glass Manufacturing,manufacturing,AK,Alaska,1.5,loss_cost,2024-01-01,National Council on Compensation,False,False,False
4109,Glassware Manufacturing,manufacturing,AK,Alaska,0.29,loss_cost,2024-01-01,National Council on Compensation,False,False,False
4110,Glass Merchants,retail,AK,Alaska,0.51,loss_cost,2024-01-01,National Council on Compensation,False,False,False
4111,Glass Installation,construction,AK,Alaska,0.95,loss_cost,2024-01-01,National Council on Compensation,False,False,False
4114,Lens Grinding,manufacturing,AK,Alaska,1.33,loss_cost,2024-01-01,National Council on Compensation,False,False,False
4130,Pottery Manufacturing,manufacturing,AK,Alaska,2.52,loss_cost,2024-01-01,National Council on Compensation,False,False,False
4131,Porcelain Ware Manufacturing,manufacturing,AK,Alaska,2.91,loss_cost,2024-01-01,National Council on Compensation,False,False,False
4133,Abrasive Paper or Cloth Manufacturing,manufacturing,AK,Alaska,1.76,loss_cost,2024-01-01,National Council on Compensation,False,False,False
4149,Asbestos Goods Manufacturing,manufacturing,AK,Alaska,0.43,loss_cost,2024-01-01,National Council on Compensation,False,False,False
